wastewater_treatment_plant.name,collection_date,target,dilution,assay,gc_per_lww,TotalDroplets,flow,ara_id,population
ARA Werdhoelzli,2021-08-19T00:00:00Z,SARS-N1,3,n1mhv,68424.78893354819,26861,171644,26101,471000
ARA Werdhoelzli,2021-08-19T00:00:00Z,SARS-N1,3,n1mhv,69230.47210073352,27532,171644,26101,471000
STEP Aire,2021-08-19T00:00:00Z,SARS-N1,3,n1mhv,64152.18037018872,24404,130568,664301,454000
STEP Aire,2021-08-19T00:00:00Z,SARS-N1,3,n1mhv,58651.800860423005,25530,130568,664301,454000
CDA Lugano,2021-08-18T00:00:00Z,SARS-N1,3,n1mhv,19345.72202984089,17581,46142,515100,124000
CDA Lugano,2021-08-18T00:00:00Z,SARS-N1,3,n1mhv,15331.19742923219,26620,46142,515100,124000
ARA Werdhoelzli,2021-08-18T00:00:00Z,SARS-N1,3,n1mhv,108284.8615704782,27362,178620,26101,471000
ARA Werdhoelzli,2021-08-18T00:00:00Z,SARS-N1,3,n1mhv,113340.2386861009,26444,178620,26101,471000
STEP Aire,2021-08-18T00:00:00Z,SARS-N1,3,n1mhv,77821.48856376887,25808,124440,664301,454000
STEP Aire,2021-08-18T00:00:00Z,SARS-N1,3,n1mhv,81487.59321735927,25066,124440,664301,454000
ARA Sensetal,2021-08-17T00:00:00Z,SARS-N1,3,n1mhv,35628.414370945306,25781,26033,66700,62000
ARA Sensetal,2021-08-17T00:00:00Z,SARS-N1,3,n1mhv,33465.91884732839,25413,26033,66700,62000
STEP Aire,2021-08-17T00:00:00Z,SARS-N1,3,n1mhv,76314.33861195114,25425,131764,664301,454000
STEP Aire,2021-08-17T00:00:00Z,SARS-N1,3,n1mhv,65903.11037507249,25822,131764,664301,454000
CDA Lugano,2021-08-17T00:00:00Z,SARS-N1,3,n1mhv,29788.40192070348,23981,45613,515100,124000
CDA Lugano,2021-08-17T00:00:00Z,SARS-N1,3,n1mhv,42937.29592220029,23772,45613,515100,124000
ARA Chur,2021-08-17T00:00:00Z,SARS-N1,3,n1mhv,74745.10237049605,26869,17411,390101,55000
ARA Chur,2021-08-17T00:00:00Z,SARS-N1,3,n1mhv,82058.91104599134,26966,17411,390101,55000
ARA Werdhoelzli,2021-08-17T00:00:00Z,SARS-N1,3,n1mhv,72401.07917007577,24447,198018,26101,471000
