wastewater_treatment_plant.name,collection_date,target,dilution,assay,gc_per_lww,TotalDroplets,flow,ara_id,population
ARA Altenrhein,2021-08-03T00:00:00Z,SARS-N1,3,n1mhv,23884.36087294757,25634,40752,323700,64000
ARA Werdhoelzli,2021-08-03T00:00:00Z,SARS-N1,3,n1mhv,24345.13716585801,25149,324060,26101,471000
ARA Werdhoelzli,2021-08-03T00:00:00Z,SARS-N1,3,n1mhv,15968.3973453411,25558,324060,26101,471000
ARA Chur,2021-08-03T00:00:00Z,SARS-N1,3,n1mhv,16081.050292605958,25379,17984,390101,55000
ARA Chur,2021-08-03T00:00:00Z,SARS-N1,3,n1mhv,16950.55399118218,22071,17984,390101,55000
ARA Sensetal,2021-08-03T00:00:00Z,SARS-N1,3,n1mhv,2876.6531423579277,23641,45327,66700,62000
ARA Sensetal,2021-08-03T00:00:00Z,SARS-N1,3,n1mhv,11048.142779434871,24625,45327,66700,62000
CDA Lugano,2021-08-02T00:00:00Z,SARS-N1,3,n1mhv,8289.810716985565,24613,82047,515100,124000
CDA Lugano,2021-08-02T00:00:00Z,SARS-N1,3,n1mhv,12098.6958835445,25298,82047,515100,124000
STEP Aire,2021-08-02T00:00:00Z,SARS-N1,3,n1mhv,73955.58548614343,26235,134829,664301,454000
STEP Aire,2021-08-02T00:00:00Z,SARS-N1,3,n1mhv,86072.5131732396,24919,134829,664301,454000
ARA Sensetal,2021-08-02T00:00:00Z,SARS-N1,3,n1mhv,4044.0906490956554,25225,40523,66700,62000
