sample,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
B5_19_2023_03_13,317.0,565152.5,54667.0,6243.5,59.0,2918.0,162337.0,166.0,173.0,12539.0,38322.0,21507.0,21517.5,0.0,12439.5,1289.0,9020.0,7839.0,7705.0,39.0,28.0,37.0,11.0,1944.0,1441.5,160678.5,155333.5,1563.0,300.0,300.0,11500.0,291.0,26322.0,15456.0,680.0,1957.0,11790.5,5722.5,157391.0,90211.0,8179.0,38908.5,312895.5,183090.5,62087.0,70.0,7224.5,398.0,573.0,202980.0,108301.0,120386.5,34866.5,182174.0,194.5,199153.5,1643.0,10511.5,214978.5,39271.0,250197.5,24609.0,525.5,575.5,259.0,1409.0,1354.0,1600.0,5411.0,3212.0,0.0,0.0,0.0,5504.5,413.0,195408.0,12360.5,651.0,839.0,38544.0,573.0,111318.5,7745.5,26073.0,25949.0,114.0,26362.0,14976.0,6292.5,9457.0,1062.0,106262.5,666940.0,75224.0,79804.5,1.0
B6_25_2023_03_14,209.0,258531.5,25441.0,14662.5,636.0,11514.0,114990.0,2861.5,2701.0,23097.5,30671.0,16088.0,17473.5,1.0,28027.0,8300.0,20760.0,19650.5,19162.0,1131.0,247.0,451.0,177.0,10490.0,1784.0,40605.5,50413.5,2572.0,1953.0,2051.5,6040.0,582.0,34689.5,12235.5,6213.0,9579.0,20405.5,10754.0,56109.0,37332.0,30240.5,27370.0,107102.5,59865.0,35541.0,966.0,18239.0,3170.0,3252.0,109279.0,71969.5,91638.5,48887.5,94805.0,4908.0,97583.0,15720.5,1230.5,54170.5,33091.5,115286.0,2977.0,2083.5,1467.0,2920.5,2400.5,9006.0,3809.0,11547.0,6178.5,100.0,19.0,10.0,9438.0,5759.0,185987.5,2740.5,6331.5,6580.5,40244.5,3567.5,100190.0,35443.5,54384.0,51654.0,1310.0,39094.0,20958.0,20406.5,18953.0,13700.0,114863.0,376651.5,141235.5,77866.5,7.0
C1_05_2023_03_10,725.0,1376447.5,59241.0,326.0,9.0,244.0,75698.0,20.0,20.0,3240.0,7320.5,1889.0,1888.0,0.0,1445.0,235.0,1287.0,1100.0,1084.0,0.0,2.0,3.0,0.0,583.0,279.0,199903.0,66818.0,354.0,11.0,11.0,1272.0,76.0,1957.0,8960.5,29.0,424.0,163.0,1572.0,85757.0,82714.5,935.5,21547.5,137744.0,414350.5,13385.0,5.0,190.0,92.0,474.0,154279.5,217235.5,31015.5,11443.5,65689.5,20.0,289513.0,298.0,1810.5,217827.0,5534.0,275459.0,3263.5,152.5,56.0,3.0,26.0,117.0,124.0,430.0,326.0,0.0,0.0,0.0,325.0,73.0,76244.5,4605.0,9.0,57.0,3751.0,97.0,21486.0,984.0,9372.0,9357.0,6.0,8152.0,2917.5,619.0,7455.0,56.0,105932.0,1238235.5,14706.0,28456.5,2.0
C2_10_2023_03_11,81.0,96231.5,28053.0,7300.0,1135.0,3428.0,57664.0,1825.5,1805.0,13011.0,9347.0,9568.0,9902.5,0.0,8712.0,4840.0,4674.0,7892.0,7833.0,301.0,197.0,176.0,90.0,6455.0,640.0,18276.5,13340.0,1727.5,4045.0,4174.0,2622.0,711.0,24184.0,9205.0,5680.0,6669.0,11854.5,4637.5,31098.0,27251.5,13089.0,30521.5,81833.0,34967.5,26233.5,1128.0,11679.5,2269.0,2262.0,39056.0,27184.5,56180.5,28746.0,40307.0,4307.0,33714.0,8062.0,809.5,19062.0,13606.0,54311.0,1466.0,984.0,694.0,1003.5,459.0,3648.5,1460.0,5572.0,4157.0,68.0,13.0,5.0,8447.5,7002.0,80322.0,1297.5,3229.0,6337.5,20108.5,2284.0,51477.5,25546.0,26190.5,25113.0,848.0,28633.0,13844.5,8726.0,7060.0,11401.0,48067.0,252943.0,85127.5,25821.0,9.0
C3_16_2023_03_12,655.0,1413892.0,50740.0,101.0,23.0,135.0,109586.0,65.0,65.0,5166.0,1397.0,2240.0,2238.5,0.0,558.0,501.0,1195.0,3310.0,3272.0,1.0,3.0,2.0,1.0,1169.0,371.0,132771.0,83130.0,192.0,8.0,8.0,965.0,232.0,1631.0,13043.0,27.0,250.0,48.0,1943.0,12621.0,69407.5,718.0,20716.5,149833.0,399116.5,11593.5,26.0,244.0,111.0,590.0,143662.0,249945.5,24705.0,20552.5,67495.5,40.5,175055.0,326.5,2819.5,229258.0,5959.5,275948.0,4963.5,131.0,74.0,11.0,67.0,468.0,277.0,622.0,337.0,0.0,0.0,0.0,723.0,169.0,95878.5,10786.5,9.0,148.0,5937.5,302.0,27477.5,2750.0,26335.0,26321.0,16.0,8725.0,3245.0,1139.0,11135.0,85.0,114161.0,1387256.5,18754.0,22378.5,0.0
C4_17_2023_03_13,169.0,270175.5,28128.0,12196.0,562.0,7698.0,89881.5,860.0,1068.0,20309.0,33051.5,10469.0,11306.5,0.0,23581.0,4793.0,10348.0,5552.0,5478.0,556.0,70.0,380.0,145.0,13914.5,1774.0,73901.0,40914.0,3855.5,3417.0,3443.5,8030.0,968.0,38077.0,6560.0,4720.0,1567.0,22040.0,9130.5,58479.0,18972.0,21849.5,48535.5,173530.0,117391.0,55375.5,1513.0,23915.5,2019.0,2106.5,112471.5,68275.0,120004.0,60505.5,106645.0,4073.0,105220.5,4798.0,1773.0,30374.5,28732.0,74730.0,3240.5,957.0,2413.5,1153.0,1501.0,4599.5,4122.5,15146.5,7926.0,80.0,10.0,3.0,21009.0,11076.0,149074.5,2657.5,5129.0,13487.0,49710.5,2518.5,66058.5,23181.0,50656.5,48614.0,1027.0,50028.5,37837.5,31294.0,22318.0,20504.5,110654.0,462047.5,156026.5,79055.5,5.0
C5_19_2023_03_14,87.0,122172.0,13723.0,3307.0,260.5,1299.0,33593.0,423.0,426.0,6633.5,6055.5,3611.0,3719.5,0.0,3964.0,1654.0,2559.0,3244.0,3191.0,80.0,93.0,60.0,19.0,2521.5,209.0,14847.0,6387.0,1430.0,1209.0,1232.0,1036.0,285.0,11980.0,4832.0,1694.5,2779.0,4749.0,2436.0,17994.0,12155.5,4312.0,10789.5,44885.0,23431.0,10603.0,314.0,4530.0,481.0,500.0,18266.0,17280.5,30585.5,11987.5,18927.5,1188.5,18497.5,2970.0,570.0,11371.5,7794.0,24579.0,1074.0,331.5,575.0,524.0,282.0,2113.5,698.0,2368.0,1863.5,15.0,2.0,0.0,3348.0,2108.5,38573.5,719.5,1114.5,2264.5,8752.5,774.0,24166.0,10211.5,12348.5,12031.0,234.0,15720.0,9913.0,3296.5,2478.0,3490.0,28561.5,148693.5,43973.0,15537.0,1.0
D1_05_2023_03_11,528.0,1017528.5,62602.0,4131.0,30.0,2357.0,122325.5,76.0,76.0,4279.0,25126.0,3977.0,3986.0,0.0,6455.5,437.0,13303.0,2843.0,2797.0,21.0,4.0,30.0,8.0,808.0,1116.0,154564.5,205724.0,185.5,72.0,72.0,6017.0,131.0,7270.0,8489.0,279.0,134.0,4003.0,2191.5,177814.0,64433.5,7810.0,17492.0,470052.0,356412.5,69445.5,15.0,2955.5,479.0,855.5,418059.0,168205.5,174740.0,12943.5,306479.0,40.0,497663.0,257.5,13287.5,165740.5,41705.5,178466.5,28121.5,153.0,474.0,2.0,1518.0,208.0,2451.0,3636.0,3332.5,0.0,0.0,0.0,4170.0,72.0,280266.0,8750.0,365.0,155.0,35567.0,127.0,173175.0,1945.0,12505.5,12377.0,67.0,14981.0,10313.0,1527.0,7598.0,835.0,115441.5,1314801.5,18170.0,97536.0,0.0
D2_10_2023_03_12,98.0,147447.5,24030.0,9410.5,750.5,5114.0,51884.0,1303.0,1222.0,14013.0,18199.5,12992.0,13777.5,0.0,17607.0,7001.0,7185.0,12988.5,12703.0,434.5,447.0,527.0,115.0,5784.0,843.0,32487.0,17539.0,3379.0,4981.0,5076.5,3752.0,625.0,34771.5,11955.0,8096.0,7778.0,15363.5,8500.0,33460.5,41694.5,15549.5,32571.5,85543.5,45538.0,27539.5,1303.0,18576.5,2434.5,2340.0,48876.5,29564.5,71728.5,35003.0,53516.5,4388.0,39382.0,6548.5,1894.5,27807.5,12563.5,62915.0,2926.5,1268.0,1420.5,2939.0,836.5,7723.5,2209.0,8299.0,4650.0,94.0,3.0,0.0,13467.0,9284.5,84479.5,2607.0,4019.5,8667.5,21493.5,3251.0,58152.0,28815.5,33948.5,32944.5,918.0,40261.5,22454.0,11840.0,8150.5,12878.0,54134.0,235463.0,95551.5,30276.5,3.0
D3_16_2023_03_13,276.0,493278.5,41613.0,37296.5,590.0,17632.0,87898.5,409.0,388.0,18191.0,20642.0,29145.0,29395.0,0.0,14438.0,6522.0,17246.0,21638.0,21188.5,822.0,61.0,712.0,126.0,6777.5,989.0,58148.5,35159.0,2327.0,3246.0,3253.5,17498.0,606.0,85555.0,20521.0,9202.0,7947.0,52616.0,11553.5,189045.5,54165.0,38433.5,73825.5,270382.0,152061.5,78098.5,1936.0,22258.0,2235.5,1976.0,182392.5,142768.0,138902.0,126319.0,192973.0,3762.5,196970.5,18418.5,5328.5,96050.5,85251.0,246455.5,4214.0,2348.0,3550.5,3167.0,4955.5,12642.5,5209.0,19154.5,7640.0,82.0,23.0,0.0,20571.5,6973.5,145439.0,2890.0,8367.0,10441.5,46495.5,2471.5,90261.5,20376.0,51723.5,49737.0,465.0,49014.0,39104.5,34724.5,20001.5,21723.5,129650.5,622669.5,138762.5,96237.5,7.0
D4_17_2023_03_14,56.0,110765.0,25600.0,8191.5,693.0,3456.0,41721.5,1916.5,1887.0,16417.0,21052.0,9759.0,10836.5,0.0,14149.0,4475.0,10377.0,9759.0,9491.5,682.0,75.0,225.0,159.0,9274.0,994.0,16774.0,30861.0,1652.0,4046.0,4127.0,5624.0,947.5,40268.5,1572.5,6777.5,4918.5,15281.0,5584.0,58929.0,23643.5,18028.5,37533.5,83955.0,41664.0,27008.5,1738.5,15507.0,2638.0,2575.5,53659.0,42081.5,43872.0,39170.0,50780.0,7554.0,39993.0,9314.0,220.5,13835.0,6828.5,32347.5,613.0,673.5,190.0,811.0,531.5,5276.5,2087.0,6215.0,3703.5,120.0,36.0,5.0,5910.0,5118.0,76317.0,677.0,1286.5,3237.5,15330.5,1104.0,34777.5,16709.0,25411.0,23703.0,1213.0,22631.0,13700.5,16075.0,13161.0,18705.5,65644.0,300848.5,104175.0,57286.0,8.0
