sample,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
B2_10_2023_06_16,125.0,190481.0,48899.0,5009.5,507.0,1958.0,40902.0,766.0,748.0,16526.0,29618.0,8831.0,9117.5,0.0,22140.0,2189.0,8587.0,8488.0,8380.0,133.0,140.0,140.0,36.0,8310.5,683.0,46133.0,18467.0,4049.0,928.0,938.0,2016.0,1173.0,13328.5,7783.5,1227.0,7402.0,6196.0,8054.0,18118.0,34202.5,6277.0,39454.5,112629.5,34665.0,21935.0,644.0,9148.0,520.0,563.0,40654.0,36853.0,61512.5,41009.0,47192.0,4340.0,62006.0,6770.0,493.0,41648.0,7957.5,95739.0,365.5,1521.0,60.0,685.0,244.0,5567.0,708.0,6219.0,4467.0,11.0,0.0,0.0,10493.0,9449.0,78411.0,569.0,178.0,4110.5,10010.5,730.0,41349.5,22087.0,33009.0,32643.0,253.0,34282.0,16781.5,11655.5,5683.0,4046.0,100745.5,333880.5,168365.0,28059.0,4.0
B3_16_2023_06_17,57.0,78392.0,20803.0,1454.0,309.0,1440.0,26217.5,739.0,726.0,8112.0,12075.0,4385.0,4585.5,0.0,11466.0,1908.0,3573.0,5779.0,5729.0,125.0,121.0,82.0,77.0,2124.0,478.0,22603.0,13892.5,1577.0,1854.0,1864.0,3071.0,350.0,20587.5,5969.0,2210.0,5089.0,8037.0,4955.0,20341.0,26758.5,4217.5,31298.0,51581.0,27158.5,13342.0,847.0,7213.5,568.5,578.0,19783.5,23434.0,29722.0,25940.5,25676.5,5181.0,24716.5,7376.5,590.0,27264.0,10311.0,69310.0,651.0,1417.5,378.0,1098.0,437.5,3319.0,834.0,3904.5,1467.0,24.0,0.0,0.0,9053.5,7466.0,58869.0,406.0,1205.5,4222.0,14233.0,1759.5,45330.5,24226.0,25953.5,25492.0,196.0,20998.0,10152.0,6818.0,3983.0,3926.0,46691.0,166078.0,84995.0,17955.0,3.0
B4_17_2023_06_18,119.0,192483.0,102334.5,1201.0,1201.0,0.0,0.0,0.0,0.0,1.0,48172.0,21.0,612.0,0.0,4219.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23415.0,22216.0,0.0,108962.0,0.0,26251.0,0.0,138275.5,0.0,74484.0,2866.0,38834.0,1480.0,1258.0,198264.5,63403.5,146968.0,131657.5,119010.5,8751.0,191381.5,0.0,3757.0,0.0,0.0,0.0,0.0,0.0,2806.5,1.0,0.0,0.0,5.0,8425.0,0.0,0.0,0.0,0.0,10205.0,2475.0,54700.0,0.0,0.0,10.0,49232.0,0.0,27761.5,27698.5,43521.0,43590.5,2716.0,36246.0,54055.0,51240.0,3439.0,14763.0,2.0,489604.0,1.0,0.0,11.0
B5_19_2023_06_19,78.0,104969.5,1.0,6124.5,0.0,3734.0,33.0,33.0,0.0,6235.0,16233.0,7.0,64.0,0.0,14409.0,0.0,0.0,11066.0,10975.0,320.0,181.0,126.0,169.0,5757.0,624.0,17545.0,23719.0,1379.0,579.0,680.0,2399.0,2689.0,22409.5,13136.0,9455.0,7180.0,20762.5,13109.5,56456.5,22491.0,14390.0,38100.5,1.0,1.0,15900.0,2.0,3921.5,0.0,37.0,0.0,27634.0,0.0,20103.0,19399.5,4474.5,0.0,0.0,0.0,22430.5,0.0,0.0,354.5,2278.0,348.0,1469.5,395.5,4659.0,1.0,1975.0,0.0,55.0,0.0,0.0,561.0,0.0,63337.0,295.0,0.0,4949.5,21240.0,1726.0,46695.5,28369.0,102833.0,102857.0,0.0,57078.0,28957.0,28651.5,30475.5,3121.0,152246.0,236903.0,214446.0,0.0,6.0
B6_25_2023_06_20,0.0,18.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,6025.5,0.0,2121.0,4174.5,4.0,7810.0,10.0,205571.0,0.0,12816.0,12823.0,4.0,0.0,4.0,1.0,0.0,0.0,75921.0,0.0,402.5,4.0,0.0,4.0,15.0,6.0,34.0,26254.5,686.0,686.0,295.0,4.0,0.0,101943.0,0.0,199675.5,0.0,288985.0,0.0,2189.0,6.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,16022.0,28002.5,28077.0,282.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,1.0,3.0,0.0,3.0,0.0,7387.5,2.0,0.0,7186.0,96884.5,110925.5,21396.5,0.0,9.0,36.0,4.0,3.0,28.0
C1_05_2023_06_16,124.0,160870.5,50510.0,31079.5,560.0,5324.0,84755.5,3718.5,3495.0,35489.0,57160.0,53691.0,56694.5,0.0,58063.0,14442.0,13463.0,44096.0,43623.0,2072.0,567.0,1279.0,1123.0,21919.5,4003.0,32648.0,139742.5,1253.0,6648.0,6790.0,20049.0,2816.0,43640.5,18916.0,9506.0,31342.0,28603.5,37037.0,95787.5,62453.5,12737.5,157288.5,94773.5,87007.5,51348.0,9146.0,47970.0,7721.0,7442.0,204502.5,77064.5,172725.5,111549.5,143361.5,53153.5,96909.0,55143.5,421.0,112229.0,57186.5,353542.0,4064.5,12876.5,4321.5,26250.5,6131.5,35622.5,9230.0,37900.5,23411.0,1510.0,1.0,1.0,53425.5,47087.5,149454.0,2896.5,704.5,38507.0,19488.0,12940.5,119654.5,73575.0,75474.5,73341.5,3803.0,42940.0,30846.0,39988.5,26007.0,54664.0,111478.5,555179.0,150332.5,78369.5,7.0
C2_10_2023_06_17,134.0,171815.0,23589.5,8985.5,194.0,4430.0,55793.0,1220.0,1187.0,22252.0,20266.0,11374.0,11575.5,2.0,12656.0,3009.0,3485.0,7332.0,7265.0,54.0,85.0,30.0,16.0,5792.5,348.0,56721.0,6301.0,2889.0,961.0,965.0,3132.0,351.0,11403.0,9932.0,986.0,5777.5,5583.0,7090.0,17870.5,33156.5,4523.0,33515.0,67816.5,37252.5,17845.0,518.0,7018.5,441.0,435.0,40860.5,24931.5,44450.5,23688.0,38365.5,2037.0,46737.0,3716.0,1251.0,26066.5,16207.0,72622.5,1529.5,625.5,380.0,1146.5,595.0,4340.5,1090.0,5457.5,2635.0,6.0,0.0,0.0,9797.0,5313.0,68518.0,1399.0,2846.5,4007.0,25561.0,2272.0,66766.0,30963.0,37148.0,36495.5,443.0,38317.5,21289.0,12262.5,6739.0,4526.0,59524.5,229793.0,114301.5,31790.5,2.0
C3_16_2023_06_18,116.0,183008.5,25415.0,13533.0,226.0,8016.0,59672.0,1395.0,1332.0,27973.5,35706.5,20020.0,20717.0,0.0,33361.0,3690.0,7893.0,10794.0,10655.0,226.0,187.0,58.0,91.0,3026.0,701.0,55114.0,30097.0,2835.0,1767.0,1774.0,4524.0,1585.0,31936.5,17120.0,2940.5,11397.5,8663.0,12412.5,20348.5,43892.0,7182.0,32760.5,67675.0,45278.0,18477.0,1108.0,7825.0,730.0,757.0,40871.5,45480.0,57841.5,51372.5,61464.5,6447.0,63800.5,6977.0,1332.0,50405.0,15239.5,121761.0,1308.5,2048.0,734.0,2294.0,749.5,7098.0,2492.0,8246.5,4059.0,22.0,0.0,0.0,16755.5,10843.0,108788.0,1908.0,3047.0,8979.5,35139.5,5363.5,97145.0,43010.5,55252.5,54201.5,876.0,43075.0,28076.5,18793.5,10580.0,6037.0,77617.0,238323.5,140424.0,37629.5,15.0
C4_17_2023_06_19,172.0,236415.5,51006.0,17332.5,986.0,9864.0,90.0,89.0,0.0,39.0,11528.0,11584.0,12623.0,0.0,14222.0,23545.0,20720.0,17675.0,17506.0,504.0,0.0,389.0,0.0,0.0,0.0,0.0,0.0,0.0,2100.0,2104.0,5286.0,0.0,0.0,0.0,3619.0,0.0,6484.0,4984.0,43181.0,0.0,17929.5,0.0,80077.0,0.0,45758.0,11.0,15336.5,1452.0,1469.0,34107.0,48540.0,48318.0,87358.0,55532.0,15078.5,44470.5,0.0,421.0,0.0,0.0,0.0,0.0,958.0,0.0,9114.5,0.0,12720.0,1529.0,13619.0,2496.0,418.5,1.0,1.0,42676.5,36767.5,155892.0,769.5,5032.0,30243.0,55250.0,6770.0,147667.5,80302.0,80267.5,77565.0,300.0,77520.0,48919.0,53500.5,29445.0,7812.0,46796.5,423248.0,58478.0,38282.5,6.0
C5_19_2023_06_20,170.0,284774.5,0.0,4735.0,88.0,22.0,38870.0,243.0,244.0,17809.0,40853.0,15.0,0.0,0.0,2799.0,0.0,0.0,0.0,0.0,202.0,0.0,0.0,98.0,0.0,928.0,146441.0,120524.5,0.0,200.0,200.0,0.0,0.0,0.0,19375.5,0.0,2679.0,1195.0,8128.5,183522.5,95708.0,17175.5,12738.0,321737.0,108777.5,64257.0,493.0,6915.0,731.0,852.0,181423.5,95770.0,41393.5,44280.0,81734.5,1074.0,163949.0,2580.5,2546.0,166757.0,18071.0,6.0,12286.0,880.5,2266.5,0.0,8821.0,0.0,7903.0,17104.0,9781.0,0.0,0.0,0.0,11115.0,3379.0,78742.0,2787.0,184.0,2744.0,44624.0,2169.0,76971.0,17426.0,30278.0,29844.0,110.0,15536.0,27492.5,24619.0,991.0,360.0,1.0,502148.0,43520.5,77512.5,8.0
D1_05_2023_06_17,29.0,54720.0,32722.0,7770.0,1782.0,4194.0,63082.0,4200.0,4165.0,17763.0,9167.0,2543.0,2757.5,0.0,20200.0,12717.0,4763.0,23201.0,23016.0,310.0,312.0,80.0,367.0,5859.0,915.0,8834.0,22130.0,556.0,2520.0,2660.5,3066.0,2310.5,25794.5,16154.0,4311.0,13896.5,17199.0,7684.0,43.0,26749.5,5818.5,50893.5,36334.5,30755.0,20004.5,1973.5,11984.0,1683.5,1694.0,27930.5,40337.5,12821.0,25791.5,9910.0,9076.0,21133.0,3832.5,113.0,3548.5,2.0,104208.5,0.0,2898.0,32.0,997.5,152.0,6378.5,0.0,2928.0,1437.0,173.5,4.0,4.0,14710.0,14540.0,24610.0,639.0,162.0,6602.0,38719.5,2984.0,16443.0,6549.0,21899.0,21058.0,609.0,6361.0,6084.5,6157.0,14168.0,0.0,129072.0,4.0,134292.0,0.0,3.0
D2_10_2023_06_18,200.0,243513.5,32005.5,45409.0,2954.0,15555.0,122709.0,9976.0,9585.0,127603.0,53668.0,65434.0,69472.5,1.0,86239.0,37165.0,20974.0,51862.0,51150.0,1835.0,914.0,936.0,270.0,34446.5,1021.0,69618.0,45235.0,10764.0,13180.0,13458.5,20166.0,2881.0,84024.5,23206.5,33141.0,36243.5,48216.0,15219.5,59589.0,48896.5,40642.0,89300.5,187825.0,68285.0,69106.0,8819.0,68104.5,14532.5,14424.5,154102.0,101208.5,144234.5,156020.5,136178.0,41119.5,96421.0,31552.5,3277.5,36909.0,42293.5,150109.0,3035.5,6974.5,1516.0,17586.5,2953.0,28404.0,7454.0,38720.0,19747.0,2239.0,6.0,6.0,82405.5,73379.0,255537.0,1425.0,9111.0,36757.5,51209.0,20245.0,208740.5,133966.0,111955.0,109177.0,3063.0,95323.0,66554.5,65763.5,36524.5,21873.5,135850.5,437486.0,240644.5,46539.5,15.0
D3_16_2023_06_19,203.0,274632.0,66689.0,7779.0,645.0,1520.0,129471.5,1177.0,1170.0,51216.0,30239.0,30807.0,31016.5,0.0,19355.0,6829.0,6658.0,14051.0,13855.0,220.0,278.0,185.0,140.0,8222.0,1513.5,92799.0,66958.5,3372.0,4210.0,4227.0,6431.0,1919.0,38487.0,10504.5,3091.0,9240.5,6801.0,13950.5,40548.0,69374.5,10768.5,66936.5,142143.5,70414.5,43372.0,465.0,17985.5,740.0,901.0,58095.0,65110.0,73936.0,63129.5,79487.0,4069.0,66387.0,7309.0,1292.5,56433.5,29556.0,145743.0,1218.0,1435.5,1147.0,198.0,889.5,5178.0,2209.0,7802.0,3941.0,9.0,0.0,0.0,13375.0,6204.0,199856.0,1756.0,2760.5,4446.0,55299.5,2680.5,123007.0,41920.0,63054.0,61853.5,717.0,45666.0,32932.5,15366.0,14252.5,10570.0,124161.5,488340.0,210458.0,63638.5,7.0
D4_17_2023_06_20,176.0,213947.5,141570.0,0.0,1.0,8225.0,111370.0,3242.0,3234.0,20013.0,38364.5,57168.0,58567.0,0.0,28063.0,9515.0,26262.0,0.0,0.0,1184.0,0.0,2128.0,299.0,0.0,1151.0,2.0,239286.5,0.0,3371.5,3379.0,25635.0,0.0,18990.0,1.0,9273.0,5118.5,32187.0,0.0,200310.5,0.0,19812.0,98554.5,114688.0,224036.0,75481.0,7938.0,31973.5,2025.0,1754.0,100723.5,115936.0,82686.0,334791.0,151749.5,32708.5,199682.0,88571.0,0.0,486316.5,17087.5,694804.5,1364.5,11439.0,1296.5,20848.0,4742.0,50246.0,9684.0,66470.5,15328.0,194.0,0.0,0.0,104503.5,70753.5,197740.5,5839.5,5256.0,22595.0,63136.0,23650.0,210453.0,119562.5,177467.0,177038.5,1649.0,102415.0,169320.5,145988.0,51198.5,9928.0,120353.0,655012.5,185592.0,69390.0,16.0
D5_25_2023_06_14,0.0,1.0,43442.0,6488.0,710.0,14553.0,48792.5,1678.0,1612.0,12721.0,34208.0,16604.0,17140.0,0.0,0.0,12147.0,3.0,5982.0,5952.0,1000.0,0.0,600.0,207.0,3468.0,682.0,0.0,49493.0,0.0,3018.0,3034.0,11594.0,2879.0,77000.0,14287.5,4896.5,15557.0,16833.5,12781.0,49340.0,29638.5,5786.0,82586.0,56349.0,111360.0,10008.0,7294.0,7391.5,1736.0,1727.0,76147.0,58105.0,47644.5,101119.5,47838.0,14554.0,42734.5,5611.0,0.0,19525.5,24052.5,58213.0,1032.5,1640.0,1127.0,0.0,410.0,2725.0,1361.0,9613.5,3953.0,244.5,0.0,0.0,22184.0,17627.0,119611.5,1579.5,1172.0,3579.0,43250.0,3877.5,94488.5,53268.0,52962.0,53078.5,975.0,14399.0,16448.0,15656.5,8587.0,7648.0,46908.0,300630.0,101430.0,47970.5,8.0
E1_05_2023_06_18,90.0,111827.5,63448.0,22893.0,2956.0,13905.0,75513.0,3644.5,3408.0,84927.0,27225.5,39134.0,39095.0,0.0,41915.0,13697.0,9959.0,1.0,1.0,1194.0,0.0,696.0,934.0,5.0,3942.0,13.0,168795.0,0.0,3281.0,3285.0,22109.0,0.0,60451.0,2.0,0.0,17233.5,10875.5,9025.0,47248.0,18610.0,9973.5,74486.0,3.0,1.0,22353.5,18.0,29529.5,3353.0,3504.0,155776.0,43736.0,78791.0,117856.0,65943.5,29734.5,118405.5,50406.5,509.5,107290.5,1.0,246647.5,0.0,12928.5,256.0,8499.0,1300.0,14521.0,4814.0,26116.0,4600.0,1330.0,6.0,6.0,34376.5,33931.5,184675.0,2372.0,7018.0,28069.0,83852.0,3833.5,118823.5,21859.5,64946.0,64028.0,3921.0,32665.5,33628.5,42931.0,48457.5,31838.0,114186.5,570285.5,240471.0,117046.0,10.0
E2_10_2023_06_19,506.0,160250.0,34176.0,20247.5,912.0,11835.0,32557.0,2224.0,1968.0,35180.0,50824.0,22598.0,24732.0,0.0,52504.0,10714.5,8787.0,27874.5,27542.0,364.0,648.0,807.0,653.0,2564.0,2195.0,20525.0,66292.0,6179.0,8371.0,8506.5,16580.0,2427.0,72787.5,17497.0,14086.5,29450.0,23844.0,21966.0,30753.5,70834.5,5985.5,119741.0,52076.0,75572.5,34070.0,3068.0,29094.5,2741.0,2623.5,92542.0,33292.5,100470.0,68873.5,93377.5,23594.5,78260.0,22799.5,2219.5,68653.0,32008.5,156413.5,2303.0,12594.0,999.0,25619.0,1441.0,26555.0,3032.0,21011.5,7543.0,417.0,4.0,4.0,42201.5,39743.0,94591.5,1182.0,6752.5,19585.0,47988.0,11587.5,150307.5,54064.5,56333.0,54209.5,3247.0,63808.0,36082.5,33274.0,23628.0,17633.0,83260.0,367766.5,140182.0,77823.5,21.0
E3_16_2023_06_20,56.0,82368.0,5710.0,1017.0,39.0,245.0,3827.0,89.0,89.0,2010.0,3382.0,2072.0,2094.5,0.0,1525.0,408.0,365.0,1290.0,1280.0,0.0,12.0,1.0,6.0,1011.0,107.0,14832.0,8186.0,644.0,384.0,384.0,568.0,127.0,5533.5,4281.5,274.0,2172.5,2226.0,1746.0,7998.0,8474.5,1198.5,9558.0,42651.0,9922.0,7692.0,62.0,1839.5,38.0,42.0,10696.0,14767.0,11453.5,9025.5,12071.0,615.0,16345.5,851.5,134.5,10358.5,3522.5,23972.0,158.0,154.0,47.0,98.0,57.0,1186.0,126.0,808.0,329.0,0.0,0.0,0.0,2680.0,1841.0,36896.0,131.5,87.0,680.5,4241.0,351.0,19353.5,11581.0,10739.0,10720.0,16.0,9071.0,4693.0,2517.0,1727.0,737.0,31730.0,133142.0,63633.5,10003.5,1.0
E4_19_2023_06_14,145.0,190547.0,57243.0,9239.0,462.0,2954.0,67477.0,1133.0,1126.0,25041.0,28502.0,4920.0,5037.0,0.0,11932.0,5077.0,4660.0,8680.0,8547.0,20.0,108.0,15.0,13.0,9235.5,531.0,70785.0,46948.5,3246.0,809.0,811.0,5139.0,1181.0,35042.5,22064.5,972.0,8135.0,8807.0,8317.0,31866.0,37782.5,3861.0,74914.5,57759.0,73684.5,13106.0,588.0,4633.0,311.0,320.0,60630.0,58298.5,51488.0,60522.5,65438.0,4519.5,80726.5,7901.0,1014.0,52409.5,21064.5,112513.0,1524.0,1945.0,327.0,1979.5,550.5,6382.0,985.0,5059.0,1997.0,17.0,0.0,0.0,8040.0,7058.0,61012.0,885.5,163.0,5133.0,12647.0,1795.5,53458.0,24801.0,59359.5,59267.5,55.0,27480.0,11499.0,8239.5,5842.0,2607.0,93526.0,325238.5,150171.0,31288.0,4.0
